TEP,TEP pro,TEP:Chl,Chl,Temp,Salinity,DO,Solar,NO3,NH4,PO4,SiO4,POC,PON,Diatom,Dino,A.sang,Pico,Syn,Nano,Chl u0,Chl g,Chl r,Tide Height,Ciliate
436.128838,-0.1282398,91.6237055,4.75871532,29.22,29.73,6.5,7.62,1.507177419,0,0.690399916,139.2380938,69.29775448,12.6897356,123.3928204,25.8819596,59.7830079,29.14732646,5.609678987,35.79811144,1.057353216,0.569225075,0.016503,2.4,0
380.219032,0.67607119,71.4697429,5.31576494,31.23,29.28,6.82,18.51,1.770080645,0,0.66823818,119.097811,41.70808701,7.36527308,50.60752151,47.03136901,69.7815916,55.27963306,7.69934946,47.10795238,1.222950362,0.608950757,0.029363,2.74,0
358.393526,0.37313689,61.7919872,5.79723496,30.66,30.32,4.2,17.89,1.497177419,0.352404643,0.729217648,119.64932,38.91084903,10.5254371,81.99925,151.8353168,186.73375,26.55997268,2.785625527,23.29589314,1.463877429,0.942137659,0.01974,2.66,1.040705345
434.0760773,,175.739303,2.47453197,27.02,26.58,21.67,10.79,1.71,1.206191266,0.693121407,125.745877,37.62847627,11.4922708,,,,,,,0.867861004,0,0.030794,2.39,
445.730212,0.23203207,172.763648,2.57810401,27.05,26.73,6.45,11.04,0.748548387,2.852128248,0.358405496,81.62011895,56.32912157,7.32556203,313.3449,50.4214723,32.6074981,37.1308889,1.666809906,30.15808878,1.454965906,0.805161272,0.166916,2.78,0.854104147
211.576848,,77.2178277,2.74325942,28.13,28.79,7.7,11.03,0.460645161,0.895798784,0.537611035,86.83790495,57.39785595,6.74346378,388.0645,67.80004419,57.4982224,59.06529393,4.043930226,33.69818272,0.738160419,0,0.112029,2.44,0
266.053958,0.17867431,96.3963616,2.75725564,24.82,27.77,7.86,11.52,0.751048387,1.632946379,0.727940402,82.66004495,79.480204,7.01051207,117.3578,93.12082154,39.5543791,25.67346629,2.984200134,17.11474012,0.756985246,0,0.01403,2.72,0
351.981056,-0.1645877,132.82304,2.65088436,28.1,29.23,6.85,11.13,0.721048387,2.026533997,0.72450816,74.9048552,69.3944057,13.6353208,40.06385,65.63005027,28.3033623,29.76555481,1.748599995,23.1259808,0.95202384,0,0.041082,2.83,0
258.093252,-0.1146328,103.651908,2.49132743,23.9,29.75,9.21,11.28,0.961370968,2.18159204,0.708597136,82.139855,62.67266861,7.79587843,59.42721,104.340239,41.4226637,14.20781398,0.891556849,20.96262308,1.07623475,0.448690766,0.006801,2.79,0
325.0829867,0.0069028,122.211649,2.65928209,19.4,29.97,12.37,8.63,0.726048387,2.286898839,0.734320733,71.32071695,36.52158358,7.32156536,44.25208,43.48629723,15.6448533,66.50056434,3.647656439,28.26826192,0.400536614,0,0.160721,2.65,0.321257027
353.5125689,0.24353282,133.400969,2.64808511,21.42,31.19,10.71,5.75,0.550806452,2.043117745,0.689344109,62.20648895,41.71026879,6.37152373,294.5572,64.84076552,52.0023503,22.39467739,1.809037716,19.55797736,0.560058286,0,0.03731,2.93,0
259.76076,0.34676415,116.484646,2.23099771,16.43,30.53,13.37,6.48,0.881290323,0.973189608,0.673258713,62.7089768,32.21179486,7.20244067,473.7716,61.52399452,26.961856,34.07390255,1.403424401,18.37610212,0.293442241,0,0.063406,2.72,0
349.9410133,-0.0715178,126.790222,2.76005489,16.1,30.83,13.48,4.43,0.35483871,3.245715865,0.648889228,59.20109375,53.17190362,6.21752706,117.1584,33.25497157,8.41056381,54.71211899,1.245795415,12.52720578,0.302055166,0,0.026,2.58,0
262.4510357,0.37293732,82.7921248,3.17434304,16.95,30.82,12,0.86,0.428870968,1.90989497,0.470095504,54.7236392,81.30209981,15.2716903,696.2496,431.1994918,579.762775,12.83656378,0.891622988,19.45069124,-0.021476564,0,0.02118,2.88,0
183.396642,1.13096313,68.6878809,2.67327831,6.15,29.28,19.45,4.81,0.844435484,2.242675511,0.454209856,54.7236392,38.8830701,5.93191091,271.3386,45.83508982,13.7007333,24.86833569,0.210662658,9.540140952,0.084833043,0,0.099402,2.23,0
281.3399,1.07635866,81.7848547,3.44043921,8.52,29.03,18.33,6.74,0.838870968,4.993550765,0.570129093,39.1021644,58.26111574,7.16193797,66.7743,74.828198,17.2376886,13.72439228,0.319961163,3.940862575,0.002524,0.168800613,0.024957,2.48,0.57125074
180.7584787,-0.1116888,87.3229366,2.07424003,9.71,29.3,17.2,6.58,0.197258065,1.023217247,0.410921344,26.28196055,34.26489189,6.71969192,35.81161,19.93825887,9.70354344,33.00308849,0.169041925,11.03411424,-0.300463631,0,0.151804,2.2,2.838857092
341.8520493,0.81582209,107.163652,3.1874575,10.84,31,14.13,7.52,0.342903226,2.359038143,0.370599768,18.38012,80.48018318,6.76490425,101.6678,139.8617223,101.835676,18.96074318,0.175095281,18.47617014,-0.222495745,0,0.039072,2.92,16.24627308
255.5128587,-0.133878,110.611627,2.3062414,12.79,29.02,14.86,3.45,0.421774194,3.02957435,0.463679688,24.8779862,37.86234908,21.0773106,41.99198,40.67721736,34.8876111,22.54503719,0.079474894,14.6822466,0.79809058,0.911385325,0.039072,2.12,1.472517246
130.537092,0.41712397,98.8917364,1.32124331,17.32,28.35,11.63,11.52,0.493387097,3.855444997,0.62374234,34.79159375,40.86018292,11.3042517,31.16112,38.95308408,33.6285595,43.99425894,0.09140164,4.155201324,0.770371442,0.326620285,0.038723,2.3,1.672198233
